                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6925,                 3.7492,                 2.0577,                0.00533,                 0.4127,                0.01721,                0.00579,                 2.4992,                 3.5327,                 1.8884,               0.070811,              0.0032432,              0.0032432
                      2,                 2.2639,                 3.5155,                 1.6885,                0.00297,                0.52381,                0.02519,                0.00652,                 2.6134,                 3.5797,                 2.0167,               0.040681,              0.0064464,              0.0064464
                      3,                  2.223,                 3.4935,                 1.5808,                 0.0036,                0.63492,                0.00851,                0.00284,                 2.5939,                 3.5097,                 1.9565,               0.010418,              0.0095175,              0.0095175
                      4,                 2.3041,                 3.3959,                 1.6115,                0.00369,                0.65079,                0.01127,                 0.0032,                 2.6714,                 3.4778,                 1.9769,               0.009406,               0.009406,               0.009406
                      5,                 2.1839,                 3.2269,                 1.5355,                0.10446,                0.03175,                0.03877,                0.00982,                 2.7473,                 3.2995,                 2.0035,               0.009208,               0.009208,               0.009208
                      6,                 2.1612,                 2.9916,                 1.5208,                0.05942,                0.12698,                0.03414,                0.00953,                 2.6925,                 3.7074,                 2.1006,                0.00901,                0.00901,                0.00901
                      7,                 2.2937,                 3.0004,                 1.6383,                0.05943,                0.15873,                 0.0325,                0.01069,                 2.5067,                 3.5369,                 1.9888,               0.008812,               0.008812,               0.008812
                      8,                 2.1584,                 2.7768,                 1.5718,                0.07681,                0.11111,                0.03337,                0.00996,                 2.5272,                 3.3198,                 1.9987,               0.008614,               0.008614,               0.008614
                      9,                 2.0678,                 2.6689,                  1.506,                0.09836,                0.15873,                0.03719,                0.01085,                 2.6628,                 3.7189,                 1.9715,               0.008416,               0.008416,               0.008416
                     10,                 2.1425,                 2.6201,                 1.4823,                0.13455,                0.19048,                0.06643,                0.01956,                 2.7695,                 3.8188,                 1.9731,               0.008218,               0.008218,               0.008218
